iter	Passed	Remaining
904	3914	410
905	3915	406
906	3917	401
907	3919	397
908	3921	392
909	3923	388
910	3924	383
911	3927	378
912	3929	374
913	3931	369
914	3933	365
915	3934	360
916	3936	356
917	3939	351
918	3940	347
919	3943	342
920	3946	338
921	3948	334
922	3950	329
923	3952	325
924	3954	320
925	3956	316
926	3958	311
927	3961	307
928	3963	302
929	3965	298
930	3967	294
931	3969	289
932	3971	285
933	3973	280
934	3975	276
935	3978	272
936	3979	267
937	3982	263
938	3984	258
939	3986	254
940	3987	250
941	3989	245
942	3991	241
943	3993	236
944	3995	232
945	3997	228
946	4000	223
947	4003	219
948	4005	215
949	4007	210
950	4011	206
951	4012	202
952	4015	198
953	4017	193
954	4018	189
955	4020	185
956	4023	180
957	4025	176
958	4027	172
959	4028	167
960	4030	163
961	4031	159
962	4033	154
963	4034	150
964	4035	146
965	4037	142
966	4038	137
967	4041	133
968	4043	129
969	4044	125
970	4046	120
971	4047	116
972	4049	112
973	4050	108
974	4051	103
975	4053	99
976	4054	95
977	4055	91
978	4057	87
979	4059	82
980	4060	78
981	4061	74
982	4062	70
983	4064	66
984	4065	61
985	4067	57
986	4068	53
987	4070	49
988	4072	45
989	4073	41
990	4075	37
991	4076	32
992	4078	28
993	4079	24
994	4080	20
995	4082	16
996	4083	12
997	4085	8
998	4086	4
999	4088	0
